,SYMBOL
0,AARTIIND
1,ABBOTINDIA
2,ACC
3,ADANIENT
4,ADANIPORTS
5,ABFRL
6,APLLTD
7,ALKEM
8,AMARAJABAT
9,AMBUJACEM
10,APOLLOHOSP
11,APOLLOTYRE
12,ASHOKLEY
13,ASIANPAINT
14,ASTRAL
15,AUBANK
16,AUROPHARMA
17,AXISBANK
18,BAJAJ-AUTO
19,BAJFINANCE
20,BAJAJFINSV
21,BALKRISIND
22,BANDHANBNK
23,BANKBARODA
24,BATAINDIA
25,BERGEPAINT
26,BEL
27,BHARATFORG
28,BPCL
29,BHARTIARTL
30,BHEL
31,BIOCON
32,BOSCHLTD
33,BRITANNIA
34,CADILAHC
35,CANFINHOME
36,CANBK
37,CHOLAFIN
38,CIPLA
39,CUB
40,COALINDIA
41,COFORGE
42,COLPAL
43,CONCOR
44,COROMANDEL
45,CROMPTON
46,CUMMINSIND
47,DABUR
48,DALBHARAT
49,DEEPAKNTR
50,DELTACORP
51,DIVISLAB
52,DIXON
53,DLF
54,LALPATHLAB
55,DRREDDY
56,EICHERMOT
57,ESCORTS
58,EXIDEIND
59,FEDERALBNK
60,GAIL
61,GLENMARK
62,GMRINFRA
63,GODREJCP
64,GODREJPROP
65,GRANULES
66,GRASIM
67,GUJGASLTD
68,HAVELLS
69,HCLTECH
70,HDFCAMC
71,HDFCBANK
72,HDFCLIFE
73,HDFC
74,HEROMOTOCO
75,HINDALCO
76,HAL
77,HINDPETRO
78,HINDUNILVR
79,ICICIBANK
80,ICICIGI
81,ICICIPRULI
82,IDFCFIRSTB
83,IBULHSGFIN
84,INDIAMART
85,IEX
86,IOC
87,IRCTC
88,IGL
89,INDUSTOWER
90,INDUSINDBK
91,NAUKRI
92,INFY
93,INDIGO
94,IPCALAB
95,ITC
96,JINDALSTEL
97,JKCEMENT
98,JSWSTEEL
99,JUBLFOOD
100,KOTAKBANK
101,L&TFH
102,LTI
103,LTTS
104,LT
105,LICHSGFIN
106,LUPIN
107,M&MFIN
108,MGL
109,M&M
110,MANAPPURAM
111,MARICO
112,MARUTI
113,MFSL
114,METROPOLIS
115,MINDTREE
116,MOTHERSUMI
117,MPHASIS
118,MRF
119,MCX
120,MUTHOOTFIN
121,NATIONALUM
122,NAVINFLUOR
123,NESTLEIND
124,NIFTY
125,BANKNIFTY
126,FINNIFTY
127,NAM-INDIA
128,NMDC
129,NTPC
130,OBEROIRLTY
131,ONGC
132,OFSS
133,PAGEIND
134,PERSISTENT
135,PETRONET
136,PFIZER
137,PIIND
138,PIDILITIND
139,PEL
140,POLYCAB
141,PFC
142,POWERGRID
143,PNB
144,PVR
145,RBLBANK
146,RECLTD
147,RELIANCE
148,SBILIFE
149,SHREECEM
150,SRTRANSFIN
151,SIEMENS
152,SRF
153,SBIN
154,SAIL
155,STAR
156,SUNPHARMA
157,SUNTV
158,SYNGENE
159,TATACHEM
160,TCS
161,TATACONSUM
162,TATAMOTORS
163,TATAPOWER
164,TATASTEEL
165,TECHM
166,INDIACEM
167,INDHOTEL
168,RAMCOCEM
169,TITAN
170,TORNTPHARM
171,TORNTPOWER
172,TRENT
173,TVSMOTOR
174,ULTRACEMCO
175,UBL
176,MCDOWELL-N
177,UPL
178,VEDL
179,IDEA
180,VOLTAS
181,WIPRO
182,ZEEL
