Date,Open,High,Low,Close,Volume,Price Change,Volume Change
2022-02-14,37664.0,37796.55078125,36828.05078125,36908.55078125,213800,38048.20494791667,197500.0
2022-02-15,36989.80078125,38231.6015625,36651.8515625,38170.1015625,193000,38106.47838541667,196633.33333333334
2022-02-16,38296.5,38461.69921875,37762.80078125,37953.80078125,170100,38143.60013020833,195953.33333333334
2022-02-17,38042.1015625,38124.5,37425.6015625,37531.6484375,136300,38138.12513020833,192583.33333333334
2022-02-18,37344.44921875,37817.55078125,37304.44921875,37599.1484375,113500,38141.755078125,189733.33333333334
2022-02-21,37400.0,38054.3984375,37156.80078125,37685.6015625,143300,38139.955078125,188400.0
2022-02-22,36833.0,37659.3984375,36818.1015625,37371.6484375,159400,38107.413411458336,186830.0
2022-02-23,37628.55078125,37774.6015625,37318.0,37392.05078125,137300,38072.408463541666,186090.0
2022-02-24,36085.19921875,36709.1484375,34991.3515625,35228.1015625,427800,37955.76015625,195146.66666666666
2022-02-25,35901.69921875,36684.6484375,35768.19921875,36430.75,372800,37887.786848958334,202266.66666666666
2022-02-28,35938.94921875,36270.25,35611.8984375,36205.30078125,238300,37815.616927083334,205256.66666666666
2022-03-02,35381.8984375,35553.69921875,34897.44921875,35372.80078125,211300,37720.838671875,207623.33333333334
2022-03-03,35621.1484375,35804.1484375,34721.1484375,34944.30078125,172500,37611.972005208336,207746.66666666666
2022-03-04,34526.1015625,35097.75,34094.1015625,34407.80078125,194500,37490.85364583333,208720.0
2022-03-07,33278.1484375,33543.30078125,32376.5,32871.25,248900,37324.866927083334,212030.0
2022-03-08,32531.900390625,33263.55078125,32155.349609375,33158.1015625,276800,37177.66028645833,215996.66666666666
2022-03-09,33278.8984375,33969.5,32948.8984375,33815.44921875,258500,37073.25690104167,216913.33333333334
2022-03-10,35153.94921875,35374.1484375,34218.05078125,34475.6015625,273900,36965.551953125,217126.66666666666
2022-03-11,34331.0,34880.05078125,34094.30078125,34546.25,169500,36851.02356770833,211233.33333333334
2022-03-14,34660.25,35435.1015625,34625.05078125,35312.1484375,193300,36771.781901041664,207866.66666666666
2022-03-15,35467.94921875,35643.80078125,34706.05078125,35022.6484375,224200,36673.35846354167,208080.0
2022-03-16,35555.75,35806.3515625,35461.55078125,35748.25,173800,36581.45013020833,206070.0
2022-03-17,36302.0,36611.94921875,36261.6484375,36428.55078125,182000,36484.718489583334,203716.66666666666
2022-03-21,36545.8515625,36600.19921875,35900.19921875,36018.5,128700,36385.00182291667,201546.66666666666
2022-03-22,35975.6015625,36468.80078125,35384.75,36348.55078125,202900,36303.641796875,202873.33333333334
2022-03-23,36627.69921875,36827.6015625,36064.75,36147.3515625,197900,36242.03854166667,201406.66666666666
2022-03-24,35633.69921875,35957.69921875,35421.69921875,35527.1015625,205200,36158.66028645833,201573.33333333334
2022-03-25,35700.3984375,35717.3984375,35203.8515625,35410.1015625,157000,36051.988671875,202643.33333333334
2022-03-28,35488.69921875,35770.80078125,35016.30078125,35710.5,197000,35941.97369791667,204283.33333333334
2022-03-29,35931.75,35977.19921875,35506.55078125,35847.3984375,177100,35852.97864583333,205020.0
2022-03-30,36241.55078125,36421.1015625,36070.55078125,36334.30078125,325600,35833.83697916667,208746.66666666666
2022-03-31,36457.19921875,36590.8515625,36278.1484375,36373.6015625,188100,35773.95364583333,208583.33333333334
2022-04-01,36298.3515625,37209.80078125,36242.3515625,37148.5,245700,35747.11028645833,211103.33333333334
2022-04-04,37824.94921875,38765.8515625,37665.55078125,38635.19921875,309200,35783.8953125,216866.66666666666
2022-04-05,38731.30078125,38759.25,37935.94921875,38067.8984375,220600,35799.5203125,220436.66666666666
2022-04-06,37711.30078125,37868.5,37513.8515625,37632.80078125,198800,35797.76028645833,222286.66666666666
2022-04-07,37421.75,37975.8984375,37346.80078125,37557.3515625,245000,35803.950390625,225140.0
2022-04-08,37619.69921875,37884.19921875,37405.19921875,37752.05078125,202200,35815.950390625,227303.33333333334
2022-04-11,37591.75,37941.75,37524.44921875,37613.80078125,132100,35895.47369791667,217446.66666666666
2022-04-12,37407.3984375,37920.6015625,37264.44921875,37747.3984375,171000,35939.361979166664,210720.0
2022-04-13,37887.30078125,37988.6015625,37408.19921875,37463.3984375,143300,35981.298567708334,207553.33333333334
2022-04-18,36833.1484375,36965.8515625,36441.3515625,36729.0,182900,36026.505208333336,206606.66666666666
2022-04-19,36806.80078125,37123.55078125,35926.30078125,36341.6015625,216300,36073.08190104167,208066.66666666666
2022-04-20,36482.6015625,36513.8515625,36114.05078125,36314.8984375,153400,36136.65182291667,206696.66666666666
2022-04-21,36513.1015625,36913.3515625,36395.69921875,36816.1015625,132700,36268.146875,202823.33333333334
2022-04-22,36514.1484375,36578.94921875,35991.5,36044.75,140100,36364.368489583336,198266.66666666666
2022-04-25,35792.3515625,36270.1484375,35511.3984375,36082.3515625,183100,36439.931901041666,195753.33333333334
2022-04-26,36515.3515625,36604.55078125,36265.8984375,36404.80078125,143400,36504.238541666666,191403.33333333334
2022-04-27,36067.55078125,36175.8984375,35747.1484375,36028.8515625,134200,36553.65859375,190226.66666666666
2022-04-28,36189.94921875,36501.1015625,35951.1015625,36422.19921875,137300,36590.66028645833,188360.0
2022-04-29,36474.05078125,36718.80078125,35978.94921875,36088.1484375,172700,36626.176953125,186643.33333333334
2022-05-02,35627.6015625,36235.25,35618.19921875,36163.75,170200,36640.026953125,186523.33333333334
2022-05-04,36266.1484375,36309.30078125,35127.8515625,35264.55078125,214600,36601.226953125,187610.0
2022-05-05,35705.3515625,35934.8515625,35133.80078125,35232.8515625,167300,36575.038671875,188896.66666666666
2022-05-06,34569.1015625,34797.94921875,34353.19921875,34591.19921875,199200,36516.460286458336,188773.33333333334
2022-05-09,34091.75,34554.3515625,33927.19921875,34275.3984375,179900,36454.061848958336,188173.33333333334
2022-05-10,34181.19921875,34781.80078125,34176.80078125,34482.6484375,138000,36419.246744791664,185933.33333333334
2022-05-11,34686.30078125,34793.19921875,34143.19921875,34693.1484375,179500,36395.348307291664,186683.33333333334
2022-05-12,34289.1015625,34341.19921875,33297.6484375,33532.1484375,382100,36322.736588541666,192853.33333333334
2022-05-13,33925.94921875,34002.19921875,33007.8984375,33121.3515625,272700,36231.868359375,196040.0
2022-05-16,33256.0,33821.6484375,33001.75,33597.6015625,195100,36140.64505208333,191690.0
2022-05-17,33796.19921875,34366.05078125,33680.6015625,34301.8984375,161500,36071.58828125,190803.33333333334
2022-05-18,34448.19921875,34655.80078125,34134.69921875,34163.69921875,146800,35972.094921875,187506.66666666666
2022-05-19,33461.0,33633.94921875,33180.6015625,33315.6484375,150400,35794.7765625,182213.33333333334
2022-05-20,33765.1484375,34358.05078125,33658.05078125,34276.3984375,129400,35668.393229166664,179173.33333333334
2022-05-23,34321.3984375,34819.94921875,34117.3515625,34247.6015625,156000,35555.55325520833,177746.66666666666
2022-05-24,34223.19921875,34586.44921875,34115.80078125,34290.1484375,163700,35446.646484375,175036.66666666666
2022-05-25,34491.80078125,34722.6015625,34285.80078125,34339.5,153600,35332.894791666666,173416.66666666666
2022-05-26,34670.6015625,35222.05078125,34424.75,35094.8984375,191500,35248.931380208334,175396.66666666666
2022-05-27,35326.6015625,35694.8515625,35291.94921875,35613.30078125,132600,35177.79479166667,174116.66666666666
2022-05-30,35958.80078125,36083.69921875,35748.44921875,35826.94921875,127000,35123.246484375,173573.33333333334
2022-05-31,35615.30078125,35881.94921875,35288.94921875,35487.3984375,149300,35081.859765625,172453.33333333334
2022-06-01,35358.94921875,35768.69921875,35285.44921875,35620.80078125,100800,35057.83307291667,168603.33333333334
2022-06-02,35470.94921875,35676.19921875,35385.0,35613.6484375,140700,35034.45807291667,168180.0
2022-06-03,35929.55078125,35958.44921875,35175.1015625,35275.05078125,104800,34983.08971354167,167250.0
2022-06-06,35159.1484375,35424.5,35072.30078125,35310.19921875,100800,34958.6046875,165940.0
2022-06-07,35080.80078125,35154.30078125,34834.3984375,34996.0,91600,34922.39296875,162890.0
2022-06-08,35165.6484375,35449.8984375,34831.75,34946.1484375,124600,34873.771223958334,162263.33333333334
2022-06-09,34802.25,35149.1015625,34659.1015625,35085.44921875,100900,34842.324479166666,161153.33333333334
2022-06-10,34686.94921875,34752.44921875,34346.6484375,34483.80078125,90000,34777.711197916666,159576.66666666666
2022-06-13,33728.6484375,33774.05078125,33210.3515625,33405.8515625,131900,34688.30130208333,158216.66666666666
2022-06-14,33180.6015625,33618.1484375,33123.8984375,33311.3515625,113200,34593.221354166664,156316.66666666666
2022-06-15,33317.80078125,33554.55078125,33249.55078125,33339.0,90800,34529.036328125,152190.0
2022-06-16,33648.80078125,33756.5,32537.94921875,32617.099609375,129500,34441.84459635417,150930.0
2022-06-17,32393.44921875,32889.80078125,32290.55078125,32743.05078125,139800,34380.2396484375,148950.0
2022-06-20,32873.3984375,32926.1015625,32426.400390625,32684.80078125,144400,34327.2197265625,147766.66666666666
2022-06-21,32978.05078125,33593.80078125,32797.55078125,33191.75,258100,34284.189778645836,151770.0
2022-06-22,33051.6484375,33106.94921875,32758.150390625,32845.30078125,135000,34222.59485677083,150286.66666666666
2022-06-23,32927.3984375,33431.75,32652.150390625,33135.0,193100,34209.35657552083,143986.66666666666
2022-06-24,33434.80078125,33721.8984375,33390.8515625,33627.44921875,149800,34226.22649739583,139890.0
2022-06-27,34126.19921875,34147.5,33735.5,33811.25,111400,34233.34811197917,137100.0
2022-06-28,33578.19921875,33745.30078125,33503.30078125,33642.44921875,125000,34211.366471354166,135883.33333333334
2022-06-29,33273.55078125,33422.80078125,33185.25,33269.8984375,140800,34181.57311197917,135683.33333333334
2022-06-30,33180.69921875,33659.30078125,33179.6015625,33425.1015625,149500,34185.22154947917,135653.33333333334
2022-07-01,33264.75,33666.5,33080.44921875,33539.44921875,149900,34160.656575520836,136336.66666666666
