,Expected Annual Returns,Expected Annual Risks,Company Tickers,Ratio
BAJFINANCE,884.4875662667409,2069.25887899394,BAJFINANCE,0.42744171608763276
NESTLEIND,2308.214146205357,5958.606862688454,NESTLEIND,0.387374800754
DIVISLAB,303.2627301897321,961.9669679256663,DIVISLAB,0.3152527480685449
HINDUNILVR,355.5885445731027,750.1850526828606,HINDUNILVR,0.47400110586237865
BAJAJFINSV,1862.1976841517858,5355.047341495243,BAJAJFINSV,0.3477462598177182
BRITANNIA,635.7601841517858,1641.059654260243,BRITANNIA,0.38740833247672146
TCS,399.90992954799106,1379.7318141084754,TCS,0.2898461320226902
ASIANPAINT,178.56869070870536,706.7539416360671,ASIANPAINT,0.25266033931885273
TECHM,144.58770315987724,438.16294174523773,TECHM,0.32998615214689986
DRREDDY,-193.36774553571428,2064.755033830465,DRREDDY,-0.09365166441899156
